image_id,text,label
95dae079jw1eqn1pf5afbj20go0goq4i.jpg,"Hurry to find the child, ask for help&nbsp& nbsp;& nbsp; The notice for finding people in the experimental primary school 13940292999. Wired payment of 100000 yuan helped spread. This morning, a three-year-old girl was abducted near the Jinxiu Garden Community. The little girl could tell her father's mobile phone number. From the perspective of monitoring, it was taken away by a man in his forties. Now adults are all crazy. Informed people please tell them how grateful you are. Please pay attention to Ning Jichun 13940292999",0
005zPiirjw1ell1yvemo2j30dc0hs76d.jpg,"Today, the first case of Ebola infection in China has been found in Ningbo. The time of inflow into China was ten days earlier than the estimated time of experts. Children and family members must be reminded to wash their hands with soap at any time in the big household. They should not eat street stalls and open-air food. The finished food bought at home must be boiled and eaten, and precautions should be taken first! Remember! (The real situation) Move your fingers, love [love] pass'&nbsp& nbsp;& nbsp;& nbsp;& nbsp;& nbsp;& nbsp; Ebola finally came to China on the 2nd Central East Road",0
3bb5c030jw1dzp3wwf3z3j.jpg,"Today, I sent a bag of clothes to Changsha Gongma Primary School, Shiqu County, Ganzi Tibetan Autonomous Prefecture, Zip code: 627350 Principal: Dawa 18923491809, to the poor areas, a simple happiness. Dear friends, take action!",0
005BlXMwjw1ev23o8p8l4j30hs0opdhk.jpg,#Tanggu Explosion Truth # # Tianjin Tanggu Explosion#,0
0063st6ajw1etjfw8et85j30c30dpjrt.jpg,"Adults with children in Shanhaiguan, Qinhuangdao, are optimistic that Changchun has invested 500 people to steal children and rob children. Some places have lost more than 20 dissected organs and 7 removed organs. Today, the school also held a meeting for parents. It said that all the people who strolled in the street and walked downstairs to the door of the house went to the van to collect food. The people who collect used household appliances with black masks and black pants asked the way. Don't stop and ignore what they received. Pass it on. This is the truth for more people to know",0
64dde935jw1dyq8hss5bvj.jpg,"Lai Ning's eyes are highly myopic, and he was burned to death when he and his classmates watched the excitement in the fire. They did not participate in the fire fighting at all. In his hometown, Shimian County, Sichuan Province, his father Lai Zhenggang was the director of the Water Conservancy and Electricity Bureau. After Lai Ning's death, his father worked together to make up the story of Lai Ning's heroic fire fighting and reported to the central government level by level to become a hero. Later, his father was investigated for economic problems, and the central leadership instructed that the glory of heroes should not be tarnished!",0
6200e46ajw1ewvxa45nsfj20ri0iadpr.jpg,"Previously, ""Shanghai brand"" goods were almost equal to ""high-end goods"" in the minds of Chinese people. As an important industrial and commercial town in China, Shanghai manufacturing covers almost all light industrial products. Shanghai is full of goods. For ordinary people, a trip to Shanghai, even if it is to buy some candy, is also a good thing. Phoenix, permanent bicycle, seagull camera and white rabbit milk candy are Xiaobian's initial memories of Shanghai. O Before, if any Chinese family had a few Shanghai goods in the house, it would be the envy of all the neighbors. Shanghai is full of goods. For ordinary people, a trip to Shanghai, even if it is to buy some candy, is also a good thing.",1
83288705gw1dsd1dowpn6j.jpg,"[Congratulations! You can quit ramen! The ramen agent contains a lot of carcinogens] The report shows that all Lanzhou ramen restaurants are using the ramen agent. The main ingredient of the ramen agent is fluffy gray, and this chemical contains a lot of carcinogens -- arsenic. Almost all Lanzhou ramen noodles use this preparation to make flour more elastic. News: O web link unbelieving students, when you go to eat, ask the teacher if he has added noodles, he must answer yes",0
7fce6f61jw1e2kg2fczlej.jpg,"Li Tianyi, the son of Li Shuangjiang, was arrested on suspicion of rape. Professor Zhang Aiguo, the leader of Li's 76-member law team and the vice president of the Law University, told the media that Li Tianyi was the first to have sex with the murdered woman, so he did not constitute the crime of gang rape, but was arrested with a lighter punishment for rape, which was the result of the joint efforts of all members of the law team. Remember, gang rape is the first!",0
76454741jw1el8nu8pojaj218g0xc49y.jpg,"Great news! [Curse] [Curse] [Curse] It is illegal to sell dog meat. The State Food and Drug Administration began to accept the reports of dog meat restaurants on November 1, 2014. The report phone number is 12331. Everyone spread out! Love dogs and animals! If you have a dog, please forward it decisively. [strong] Once I see you, I report ten times",0
809d717cgw1e4mza9tiqhj20c808tt9d.jpg,"[This is two different things] At the press conference of the Ministry of Foreign Affairs, the reporter asked why China should implement the online real-name system? Hua Chunying replied: ""Everyone must be responsible for their speech. Now some people use the Internet to spread rumors, so they must implement the real-name system",0
884d2d75jw1eqydjrosnzj20et0m8402.jpg,"Help to forward it. Your friend's child is lost in Wanda Plaza in Hedong. Contact number: 18852405370, please forward it. Thank you. This is a fact. My aunt's friend's child, please turn around.",0
7295181fjw1ev30pbplaqj20hs0vkn2s.jpg,"#Tianjin Tanggu Big Bang # Do you dare to say a word for those who died? I love those rescued firefighters most. They can't speak out when they watch their comrades-in-arms fly, accept interviews and choose good news. Do you dare to play something real? This is my friend who lives nearby. When there was an accident, he couldn't contact me. It scared me. The next day, he contacted me. The glass on the road was broken. I went to the scene yesterday as a volunteer",0
63207a53jw1eymfoqyijmj20c80bxgmv.jpg,"[Not PS, this strange building is about to appear in Shijiazhuang!] According to @ Shijiazhuang, a new highlight building is added to a film and television city in Shijiazhuang: a Chinese and Western complex building, which is a combination of Western-style buildings and the Hall of Prayer for Good Years. The local people said that ""this is a unique complex building in the world. It is absolutely shocking!""",1
48f175b8jw1e6nvv5mv20j20co0hsta8.jpg,"！ Help forward! Spread! Although I know it is hopeless, I hope it will help! At the same time, it is more to warn that on July 15, 2013, the daughter of a friend and colleague was abducted near RT-Mart Supermarket. The little girl is more than three years old, and can accurately tell her father's mobile phone number. This is the photo of our colleague's daughter. From the perspective of monitoring, it was taken away by a man in his forties. Now adults are crazy. Please tell me if you have any information. Thank you very much! (Forward)",0
6e05a6dagw1eybwaqdkf1j20ho097dgm.jpg,"[The Ministry of Public Security discussed to solve the problem that 60% of the 13 million black households are super-born people] There are about 13 million people in China who do not have household registration, which is commonly known as ""black households"". More than 60% of these black households are super-birth workers. Because they have no household registration, most of them have no social security and lose their normal work, life and education opportunities. This also restricts the flow of population, increases social instability and exacerbates social inequality. O Web link",1
